[2024-08-04T21:08:44.202+0300][0.005s][info][gc] Using G1
[2024-08-04T21:08:44.203+0300][0.006s][debug][gc] ConcGCThreads: 3 offset 22
[2024-08-04T21:08:44.203+0300][0.006s][debug][gc] ParallelGCThreads: 10
[2024-08-04T21:08:44.203+0300][0.007s][debug][gc] Initialize mark stack with 4096 chunks, maximum 524288
[2024-08-04T21:08:46.501+0300][2,305s][info ][gc] GC(84) Pause Young (Normal) (G1 Evacuation Pause) (Evacuation Failure) 249M->250M(256M) 3,963ms
[2024-08-04T21:08:46.504+0300][2,307s][info ][gc] GC(85) Pause Young (Normal) (G1 Evacuation Pause) (Evacuation Failure) 251M->250M(256M) 1,772ms
[2024-08-04T21:08:46.504+0300][2,308s][debug][gc] GC(86) Clear Bitmap 0,182ms
[2024-08-04T21:08:46.522+0300][2,325s][info ][gc] GC(86) Pause Full (G1 Compaction Pause) 250M->42M(256M) 17,681ms
[2024-08-04T21:08:46.522+0300][2,325s][info ][gc] GC(78) Concurrent Mark Cycle 107,613ms
[2024-08-04T21:08:46.600+0300][2,403s][info ][gc] GC(87) Pause Young (Normal) (G1 Evacuation Pause) 187M->71M(256M) 21,365ms
[2024-08-04T21:08:46.678+0300][2,482s][info ][gc] GC(88) Pause Young (Normal) (G1 Evacuation Pause) 196M->96M(256M) 28,672ms
[2024-08-04T21:08:46.745+0300][2,549s][info ][gc] GC(89) Pause Young (Normal) (G1 Evacuation Pause) 203M->118M(256M) 24,719ms
[2024-08-04T21:08:46.805+0300][2,609s][info ][gc] GC(90) Pause Young (Normal) (G1 Evacuation Pause) 210M->139M(256M) 23,491ms
[2024-08-04T21:08:46.856+0300][2,659s][info ][gc] GC(91) Pause Young (Concurrent Start) (G1 Evacuation Pause) 216M->156M(256M) 19,681ms
[2024-08-04T21:08:46.856+0300][2,660s][info ][gc] GC(92) Concurrent Mark Cycle
[2024-08-04T21:08:46.906+0300][2,709s][info ][gc] GC(93) Pause Young (Normal) (G1 Evacuation Pause) 222M->171M(256M) 17,868ms
[2024-08-04T21:08:46.943+0300][2,747s][info ][gc] GC(94) Pause Young (Normal) (G1 Evacuation Pause) 226M->184M(256M) 10,754ms
[2024-08-04T21:08:46.976+0300][2,780s][info ][gc] GC(95) Pause Young (Normal) (G1 Evacuation Pause) 229M->194M(256M) 10,677ms
[2024-08-04T21:08:46.980+0300][2,783s][info ][gc] GC(92) Pause Remark 199M->199M(256M) 0,617ms
[2024-08-04T21:08:47.002+0300][2,806s][info ][gc] GC(96) Pause Young (Normal) (G1 Evacuation Pause) 231M->202M(256M) 9,088ms
[2024-08-04T21:08:47.022+0300][2,826s][info ][gc] GC(97) Pause Young (Normal) (G1 Evacuation Pause) 232M->209M(256M) 7,142ms
